index,rating,text
,5,숙소 엄철 깔끔합니다. 내부 인테리어도 아주 좋습니다. 중문에 렌트해서 방문한다면 어디든 가기 편리한 숙소입니다. 추천할만합니다.
,5,"중문단지 인근이고 도로변이라 접근성이 좋다. 도로 가까이라 지나가는 차 소리에 시끄럽지 않을까 걱정했는데 방음이 잘 된다. 트윈룸에서 1박을 했는데 룸 컨디션이 좋은 편이다. 깔끔하고 쾌적한 룸 상태이고, 헤어드라이어, 어메니티, 미니냉장고, 생수 2병, 커피포트, 차 등 갖춰야 할 것은 다 갖추고 있다. 무엇보다 푹신하고 따뜻한 침구가 매우 좋다. 욕실은 샤워룸이 별도로 설치되어 있고, 샴푸, 린스, 바디클린저 등이 갖춰져 있다. 소셜커머스에서 상당히 좋은 가격에 구매 가능."
,2,관광지와는 떨어져 있어서 조용히 보낼만 하지만 반대로 관광지랑 좀 거리가 있는 으슥한 곳이라 이동성은 떨어진다. 카페나 조식이 없어서 아쉬웠다
,1,룸을 너무 이쁘게 꾸며놔서 예약했는데.... 1박 이상은 비추합니다. 2박마다 청소를 해주는줄 알았는데 막상갔더니 중간에 청소서비스는 안된다고 하시더라구요~~ 쓰레기통이 유독작은데...쓰레기통도 한번도 안비워주심...어매니티랑 수건만 테이블에 올려두고 가십니다. 조용하다고 해서 갔는데.. 마루바닥이라 그런지 윗방의 소음소리가 많이 들려서 방교체 요청했는데 거절하셨어요.
,4,조식을 제공하는 식당이나 음료마실 카페운영이 전혀 되질않아서 너무 아쉬웠어요~~ 로비에 앉을 의자도 없어요. 내부 시설은 너무 깨끗하고 좋아여!
,4,전반적으로 조용한 느낌이예요. 정적이고 조용한 여행을 좋아하시는 분들에겐 좋은 장소예요~ 까사미아 밀튼 시리즈 가구를 좋아하는 사람에겐 더더욱 안성맞춤이죠
,5,"갑자기 부모님과 제주에 가게 되어 예약한 호텔인데 정말 만족했습니다. 제대로된 가구를 갖추고 있고, 바닥이 나무로 되어있어 먼지가 없이 청결한 기분입니다. 방도 넓고 화장실도 편리하게 되어있어 좋았습니다. 부모님께서도 너무 비싸지 않고 편안하게 쉬기 좋다고 다음번에 또 이용하자고 하시네요"
,4,"제주도에 합리적인 가격으로 쾌적하게 머물곳을 찾다가, 생긴지 얼마되지않은데다가 전 가구를 까사미아를 쓴다는 말에 혹해 2박 했었습니다. 깔끔하고 좋은 스테이였어요- 다만 차가 없으면 가기가 살짝 불편하긴 할 것 같아요"
,5,가격이 저렴해서 혹시나 했는데...단순한 걱정이었네요. 침대도 넓고 너무 푹신하고 좋았어요. 조식도 정성스럽게 주시고 참 맛있었네요. 관리도 잘 되고 주변도 조용해서 가격 대비 최고입니다. 중문 쪽 관광지나 이마트 갈때도 편해요. 강추입니다
,3,직원들이 정말 친절해서 좋았습니다. 모든 직원들이 친절했습니다. 호텔 시설과 룸 컨디션은 많이 낡았습니다. 내부는 먼지가 많았습니다. 수영장은 깨끗하게 관리되고 있었습니다. 가격은 많이 비싼 것 같습니다. 서귀포 근처에는 저렴하고 좋은 호텔이 많이 생겼기 때문입니다. 히든클리프의 가치를 찾아 갈 필요가 있다고 생각합니다. 어매니티는 록시땅 제품들이 제공됩니다. 다만 가져갈 수 있는 형태의 일회용품은 아닙니다. 욕실에 비치되어 있고 사용할 수 있는 개념입니다
,4,중문단지에서 조금 떨어진 예래천을 낀 계곡위에 위치해 풍광 좋고 올레8길 걷기에 안성맞춤. 호텔내 산책하다보면 계곡으로 떨어지는 폭포도 볼 만. 호탤시설 전반적으로 상태 괘안코 룸도 무난. 욕실 샤워 수압 좋고 연인이면 동시에 들어가도 스페이스가 충분. 인피니티풀이 젤 핫스팟이라 다들 사진찍기 바쁘고 좀 바글거린다. 조식은 무난평범한 뷔페. 직원 서비스 친절하나 바쁘고 비수긴데도 투숙객 많아 얼리체크인 불가. 로비는 좀 북적인다
,4,정확하게는 방콕의 코모메트로폴리탄 느낌의 자연친화적 호텔 컨셉이라는건 매우 좋은 느낌이지만 룸레잇이 너무 과하게 책정된거 아닌가 싶네요. 한번 경험 삼아 가는거는 추천드려요
,4,호텔 동선이 깔끔하고 온수물이 굉장히 좋습니다. 따뜻하고 방도 넓으며 친절한 서비스까지 정말 좋은 호텔이었습니다. 전기차 충정소는 보도로 5분 거리에 있습니다
,4,겨울에 방문해서 바깥의 배경이 다소 황량했지만 전체적인 룸 컨디션이나 어매니티 록시땅 제품은 꽤 맘에 들었습니다. 1층에 있는 스파시설과 작지만 있을 거 다있는 수영장도 수질관리도 잘 되어있어 재미나게 놀다왔습니다. 별하나를 뺀 이유는 샤워기 수압이 조금 약해서 아쉬웠어요
,3,5스타라기엔 침구류도 정말 별로고.. 방도 매우 작습니다... 비수기라 착한 가격에 가서 수영장 다녀온 정도로는 그냥 괜찮은 정도
,1,"체크인 시 붐벼서 기다렸다가 체크인을 했는데, 너무나도 성의없고 불친절한 직원을 만나 굉장히 불쾌한 경험을 했습니다. 서비스 퀄리티는 들쑥날쑥 한 듯"
,3,룸은 조금 좁은 느낌. 깔끔하게 정리는 되어있었지만 뭔가 부족한 느낌
,5,"룸컨디션이 너무 좋았구 샤워부스, 욕조 다 좋았어요 직원분들 친절하시고... 전반적인 호텔의 컨셉이 되게 좋더라구요! 인피니티 풀도 좋았는데 풀파티는 그냥 그랬어요 ㅎㅎ 그래도 담에 또오고 싶어요"
,4,서비스 수준도 괜찮고 무엇보다 인피니티풀의 뷰가 훌륭하고 즐거웠습니다. 하지만 룸컨디션이 다소 아쉬웠습니다. 다른 근처의 특급 호텔과 비교하면 인테리어가 너무 단조롭고 편의시설도 부족한 느낌을 지울 수 없었습니다. 식당 선택권도 하나뿐인 점은 개선이 필요합니다. 물론 룸서비스 가격이 합리적인 건 좋습니다
,4,"수영장 물이 따뜻해서 좋았습니다. 아이들이 놀기 좋구요. 큰 풀이 있고, 옆에 물이 더 따뜻한 자쿠지도 있습니다. 저녁 부페 식당을 이용했는데, 손님이 별로 없어 여유있게 식사했습니다. 객실도 깔끔하게 정리되어 있었구요"
,4,인피니티 풀 짱 좋아요 비가 와도 재미있게 풀에서 놀 수 있습니다. 다만 조식은 음.. 그렇습니다. ㅎㅎ 인피니티 풀이 좋으면 꼭 이 호텔을 추천합니다
,4,주차장이 조각조각 떨어져있어 아쉬움이 있었으나 인피니티풀은 마치 발리의 비치호텔에 와있는듯 착각할만큼 좋았어요. 특히 호텔아래로 계곡따라 트레킹길이 환상적이었으며 바다까지 하루빨리 연결되었으면
,4,클리프뷰호텔이었으나 테라스의 벽이 높아 풍경을 즐기기에는 아쉬움이 많았음. 하지만 국내최대 인피니티풀 하나만으로도 충분히 만족스러웠고 체크인 후 저녁식사 후 다음날 아침 무려 세번이나 인피니트풀을 이용함. 저녁에는 풀파티가 진행되었고 10월이었음에도 완벽하게 따뜻한 물이라 전혀 춥지 않았음.
,3,"5성급에 걸맞지 않는 식사... 식당을 더 신경 쓰셔야 할듯. 인상 깊은곳은 딱 인피니티풀인데, 수영장용으로 오기에만 딱 맞을 것으로 보임"
,4,머무는 동안 수영장 입장 횟수 제한이 없어서 좋았어요. 풀파티때 DJ님 선곡이 정말 좋았어요!!!! 친구와 둘이 갔는데 침대 2개 있는 방으로 배정해주셔서 편했어요. 지하주차장이 좁아서 한번 나갔다 오니 다른 좁은 주차장에 주차하는 부분은 좀 불편했어요.
,5,가격도 좋고 직원들 친절하고 좋아요. 적당한 크기의 수영장과 아이가 이용할수있는시설들~~~ 하루전 묵은 팬션 반값으로 이런혜택을...다음 제주도 여행때도 다시 찾을듯해요
,3,정성들여 작성한 리뷰는 역시 배신을 하지 않았다. 사람들 평처럼 수영시설은 좋지 못하고 호텔 컨디션도 5성급에 못 미침!! 그리고 가격도 썩 저렴하지 않음
,5,이번에 4박함.항상 제주갈때마다  2박이상하는곳 최고
,4,"가족단위가 많아 객실 소음 크고, 룸컨디션은 그냥저냥... 남들 체크아웃 할 시간에 가면 수영장은 널널널 물도 따뜻하고 놀기 좋음"
,4,가든뷰예약하고 갔는데 클림프뷰로 업글해주셔서 좋았는데 뷰가 그닥 인상깊진않았습니다 . 인스타에서 온수풀 보고 핫한 분위기를 생각하고갔는데 생각만큼 핫한분위기는 아니였습니다.그렇지만 가족단위보단 젊은커플에게 어울리는 풀이였습니다. 조식은 가격대비 무난했습니다. 그래도 깨끗하고 친절하고 잘쉬다 갑니다
,4,생각보다 크지 않았지만 온수풀 무난하게 이용했습니다. 근데 생각보다 특별한건 없었습니다. 기대를 적게하심이... 조식은 신선하고 맛있는 편입니다
,4,위치가 서귀포에서 조금 외곽에 있구요. 겨울에 갔었는데 나무가 너무 앙상해서 인피니티풀은 경치가 별로 더군요. 객실은 깨끗하고 좋아서 만족하였습니다.
,3,안타깝게도 몇프로 부족한 호텔입니다.사진처럼 인피니티 풀이 그리 멋지지도 않구요.객실은 조금 괜찮은 콘도 같은 느낌이네요
,4,구조는 좀 요상합니다. 지하로 들어가는 로비부터가 좀 그런데.. 절벽을 드라마틱하게 보여주기 위해서 전략적으로 설계한 듯 하네요. 인피니트 풀은 더할 나위 없이 좋구요.. 꼭 밤에 풀파티 시간에 가보시길 추천합니다.
,4,히든 클리프는 역시 인피니티 온수 풀입니다. 물도 따뜻해서 좋으나 사람이 좀 많더군요. 여름에 더 좋을 것 같습니다. 실내의 선베드룸은 좀 추워요. 호텔 자체도 깨끗하고 서비스도 좋으나 무료 미니바가 없어지고 생수만 2병 줍니다.
,5,물놀이를 좋아하는 가족에게는 너무나도 좋은 호텔입니다. 가성비가 좋아요. 처음 오픈한날에 가고 이번이 2번째인데 주변 정비도 잘되어졌고 나름 산책코스같은 길이 1시간 코스로 잘 정비도 돠어 있어요
,4,요즘 정말 핫한곳인 히든클리프입니다. 가족끼리 애기들 데리고 묵기에는 좀 그렇고 연인들이 많이 보이더라구요 그래도 깔끔하고 풀 좋았고 비수기라서 사람이 적어서 좀더 좋았습니다. 조식도 맛있었어요~~ 대신 그리 고급스럽지는 않아요 하지만 충분히 만족합니다
,4,인피니티풀때문에 예약했었는데요.2월이라 추웠는데 물 온도도 따뜻했고 사람도 적어서 더 좋았어요.호텔이 생각보다 작아서 놀랬지만 깔끔하고 조식도 맛있었습니다
,4,호텔은 깔끔하고 신식이라 좋습니다 고급호텔이고 침구도 좋습니다. 특히 인피니티풀이 좋았어요.저녁에 수영하는거랑 낮에 수영하는거랑 느낌이 다르더라구요.물도따뜻하고 가을인데 수영할 만했습니다. 산책로도 있는데 이용을 못했어요. 가격대비 괜찮았어요
,5,"호텔도 좋지만, 히든클리프에서만 느낄 수 있는 자연적인 환경 때문에 재 방문이 급 필요했네요~~ 겨울에 방문했을때는 몰랐는데, 가을이랑 겨울은 완전 다른 느낌이고 가을엔 맞이한 히든클리프의 자연의 멋스러움은 기가 막히네요~"
,3,그간 주로 신라와 롯데를 이용하였고 해비치와 나인브릿지의 숙소를 이용한 지라 새로운 호텔에 대한 기대감으로 예약했었는 데ᆢ객실은 청소가 깨끗하단 느낌이 들지 않고 그냥 잘만한 비즈니스 호텔 느낌이었고 라운지도 로비도 위의 호텔과는 비교불가.이 호텔은 특징이라는 수영장과 르프탑바는 한번 경험해볼만한 정도이고 20대커플은 매우 좋아할 분위기였다고 생각합니다
,4,국내에도 인피니티풀장이 늘어나네요 제주에서 인피니티 풀장을 느낄 수 있습니다. 바로 히든 클리프 겨울에는 온수를 틀어줘 4계절 내내 사용 가능합니다. 숙소는 평범한 편이에요
,4,"예민한 편이라 잠자리 바뀌면 잠을 잘 못자는 편 인대, 히든 클리프 호텔에서는 잘 자고 잘쉬다 왔어요. 나무 숲에 둘러싸인 수영장이 인상 적입니다. 밤부터 클럽 같은 분위기로 바뀌는 수영장은 너무 시끄럽고 개인취향이 아니라 즐기진 못했지만 낮에는 편안하게 수영하고 좋았어요"
,5,친구랑 느긋하게 쉬러 갔던 곳이였는데요. 서비스며 조식이며 다 좋았습니다. 친구와 전 늦게 체크인하고 일찍 체크아웃을 할 예정이라 로비쪽 방을 선택했지만 다음번에가면 윗층으로 한번 가볼려구요. 인피니트풀도 따뜻하고 뒷쪽편에 사우나며 바도 있어서 너무너무 좋았습니다.
,4,초여름인지라 쌀쌀한 날씨였지만 따뜻한 온도로 맞춰진 수영장에서 힐링되는 시간을 보냈습니다. 밤에는 칵테일과 함께 신나는 분위기로 낮과는 또다른 분위기의 수영장이 색달랐습니다.여러므로 자연속에 위치한 인피니티 풀은 제주도에서 최고의 휴식처였습니다.
,5,개인적으로 호텔을 고르는 기준이 수영장 시설이 좋은지 아닌지인데...나에게는 인생 최고의 호텔이였음. 국내 최대규모 풀장에 겨울에도 즐길수 있는 따뜻한 온천수와 잘 갖춰진 샤워장 탈의실 스파 등 뭐 하나 모자람 없이 너무 완벽했음
,4,인피니티풀 덕분에 매우 주목받고 있는 호텔이고 기대대로 인피니티풀은 최고였습니다. 직원들은 모두 너무 친절했어요. 깜짝 놀랄 정도로요. 하지만 아직 개관한지 1년밖에 안되어서 호텔 운영 시스템이 덜 갖춰진 느낌이더군요. 하기 힘든 실수도 있고 객실은 가족이나 커플 모두를 만족시키기 위해 좀 어중간한 콘셉입니다. 하지만 더 발전이 기대되는 곳이예요.
,4,수영장이 강점인곳인데 밤에 애기들은 절대 수영못함 ;;;; 낮에도 미취학 아동은 못할정도 수영장은 매우 이쁘고 호텔도 좋았어요
,3,"오픈한지 얼마 안된호텔이라 깨끗하다. 직원들의 고객응대 또한 훌륭하다.그러나 객실에서 냄새가 좀 나서 방향제로도 안되서 공기 청정기를 올려야 했고, 룸서비스를 시키려는데 리스트가 없다.."
,4,서귀포 중문에서 가깝습니다. 인피니트 풀은 많이 크진 않지만 가족들이 즐겁게 시간을 보낼 수 있어요. 라이프 가드들과 직원들이 모두 친절하고 풀사이드에서 먹는 음식들도 좋습니다
,5,위치는 히든클리프 호텔에서 가깝습니다. 아주 중심은 아니지만 조용한 곳에서 제주여행을 원하시는 분들이라면 적극 추천합니다~ 가격대비 숙소가 아주 좋습니다
,4,호텔에 수영장이 없지만 도보로 5분 거리에 논짓물 해수욕장이 있어 단점이 되지는 않았습니다.건물도 새로 지어 깨끗하고 직원들의 서비스도 훌룡했네요. 유명 관광단지와 위치적으로 조금 떨어져있으나 관광객들로 북적이는 곳보다 조용하고 높은 건물이 없어 호텔에서 보이는 풍경도 시원하게 펼쳐져있어 힐링으로 최고였습니다.
,5,가성비 뛰어난 호텔입니다. 당일 예약으로 4만원대 오션뷰 싱글 더블 룸으로 이용했습니다. 중문 근처여서 위치적으로도 훌륭합니다.
,5,"중문관광단지에서 차로 10분 내 정도의 거리였던 듯 하고요, 지어진지 얼마 되지 않은 호텔이라 아주 깔끔합니다."
,4,위치는중문관광단지서 차로5분정도인데 리조트주변에 별로할게없다. 새로지어깨끗한데 나는온돌룸에묶어서 그냥그랬다.
,5,"호캉스로 추천해요! 본관은 리모델링, 신관은 새로지었다고 들었는데 본관도 충분히 깨끗하고 디자인도 모던했어요! 특히 조식 아리아는 강추입니다...! 프렌치토스트 두번 세번 드세요! 수영장은 가든풀, 루프탑풀 둘다 북적이지 않아서 좋았어요^^ 특히 루프탑은 지금 이벤트 하던데 핑크핑크한게 완전 제 취향 저격...! 성인풀이라 여유즐기며 수영하기 넘 좋았고 뷰도 진~~~짜 좋아요! 저는 이번여행 전반적으로 대대대만족! 다음번에 제주 오면 또 그랜드조선 투숙할거에요"
,5,한달전쯤 중문에 새로 오픈한 그랜드 조선제주 신관 힐 스위트 방문했습니다. 새로 지은 건물이라 그런지 로비입구부터 고급스럽고 깔끔한 느낌이었네요. 체크인도 프라이빗하고 친절했습니다. 전용 라운지 그랑제이에서 조식과 그랑초이스라는 해피아워 시간도 이용가능한데 음식도 훌륭하고 하프 공연도 볼 수 있어 분위기도 너무나 좋았습니다. 비싼 돈 주고 간 보람이 있었습니다.
,5,아주 깔끔하고 청결했습니다. 조식도 종류가 많은 것은 아니지만 미역국 등 한식이 조금 있어 부모님께서도 먹을만하다고 좋아하셨습니다. 가격이 저렴하여 가성비는 최고인 듯 합니다. 재방문 의사 있습니다.
,4,"2박3일의 일정이었지만 감히 가성비 최고라고 말하고 싶네요. 주변에 편의시설도 많고, 신축호텔이라 깨끗한 점이 마음에 들었습니다. 가성비때문에 단체 손님들이 많아서 조금 시끄러웠지만 불편함 없이 잘 수 있어 좋았습니다."
,4,차가있어야 이동이 쉬울거 같네요..주차타워라 좀 애먹은거 말곤 깔끔하게 잘 쉬다왔어요..쫌 좁은게 흠이라면 흠이겠네요. 또 이용할거 같아요
,5,"중문 관광단지에서만 묵다가 서귀포쪽에서는 처음 묵어봤는데, 기대이상 가성비 최고였어요! 비싼 5성급 호텔도 많이 이용해 봤는데 룸 컨디션은 오히려 나은것 같아요. 호텔 조식 이용할 예정이 없는 여행객들에게 특히 추천합니다"
,3,"이 호텔은 깨끗하고 새 것처럼 보입니다. 그것은 방안에 차, 커피를 제공하지 않습니다. 세탁기 위에 미니 부엌이 있습니다. 그러나 그 위치는 어디에도 없습니다. . 상점이나 식당 근처에는 로비에 미니 시장이 없습니다. 아침 식사는별로 다양하지 않습니다. 전체 평균"
,5,우리는 호텔을 정말 좋아합니다. 방은 우리가 심지어 2 명의 사람을위한 여왕 크기와 싱글 침대를 얻었던 정도로 매우 광대했다! 방은 또한 전자 렌지와 세탁기를 제공합니다.) 우리가 제주도에있을 때 우리가 호텔에 머무르는 것을 다시 반복 할 것이라는 것은 의심의 여지가 없습니다
,1,"호텔은 제주 한라 산자락의 아름다운 숲속에 있다 침실에서 신비로운 백록담이 보인다 그러나, 취침 시간에는 옆방 떠드는 소음이 그대로 들린다 한밤중에는 윗층에서 쿵쿵거리는 격한 소음에 눈을 떴다 새벽에 물을 틀으니 물이 안나온다 환경은 자연친화적인 호텔 설비는 2류 호텔에도 못미친다 어떻게 5성 호텔을 유지하게 되었는지 실로 걱정스럽다"
,5,오랜만에 마음에 드는 숙소였어요. 주위에 아무 것도 없었는데 그게 더 좋았던 듯 합니다. 매우 조용하고 한적한 여행을 원하는 분들에게 딱이네요
,2,"위치와 시설은 괜찮은 편이지만, 반려동물 동반 숙박옵션이 없는게 매우 불편합니다. 예약하려다가도 꺼려지고, 아직도 시스템이 셋팅이 안되어 있다는게, 시대에 따라가지 못하는 후진 호텔이란 생각이 들어요. 이건 클래식을 떠나, 다양하고 더 많은 모객을 받기위해서 준비되어야 할 필수 시스템이라고 봅니다. 오래 묵고 싶어도 아주 짧게 하루이틀밖에 못있겠네요."
,5,직원분들이 너무나도 친절하시고 배려심이 많으셔서 편안하게 쉬다가 왔습니다. 깔끔한 객실에 호텔 음식은 조식을 포함해서 훌륭했고 라이브피아노 연주를 들으며 마시는 맥주는 한해의 피로함을 한방에 날려 주었네요.. 호텔 자체의 아름다운 정원과 긴 산책로를 통해 맑은 한라산의 공기를 마시며 좋은 휴양과 힐링의 시간이 되었습니다.
,5,"오전에 진행하는 숲해설 좋았구요.직원들은 전반적으로 다 친절했어요.조식은 웰빙 조식 느낌 강하게 나는데요,한식 국 종류를 한가지정도 더 했음 좋았을듯 해요."
